X-axis,Y-axis,Z-axis
32,32,32
-52,23,-19
-61,24,-16
-85,13,-49
-37,52,1
-57,7,-1
-56,39,4
-54,21,14
-51,27,20
-54,34,2
-68,21,-18
-69,32,-16
-47,22,-16
-49,30,-24
-53,35,-27
-37,32,-32
-42,30,-31
-53,22,-42
-41,21,-38
-43,20,-41
-50,18,-47
-45,20,-47
-51,20,-38
-47,18,-41
-49,19,-40
-51,18,-39
-53,16,-38
-52,10,-37
-53,9,-37
-51,17,-38
-50,13,-33
-46,17,-34
-40,20,-39
-36,20,-43
-42,17,-53
-39,18,-51
-36,19,-53
-35,17,-51
-33,17,-48
-34,17,-51
-38,17,-50
-39,16,-53
-39,15,-55
-42,13,-52
-44,11,-49
-44,10,-52
-44,10,-49
-29,14,-38
-23,1,-52
-39,21,-71
-41,22,-70
-24,15,-52
-29,16,-56
-28,15,-56
-22,20,-59
-17,24,-52
-33,2,-59
-26,13,-60
-32,6,-61
-18,13,-59
-19,8,-64
-31,13,-59
-31,20,-53
-32,15,-52
-32,15,-49
-27,13,-54
-29,8,-61
-35,10,-65
-38,6,-63
-31,7,-48
-31,13,-49
-21,22,-64
-23,15,-62
-27,11,-63
-31,17,-54
-26,20,-55
-21,12,-58
-25,5,-62
-27,5,-63
-30,10,-58
-32,9,-59
-37,22,-63
-51,19,-67
-12,17,-54
-31,13,-47
-33,14,-45
-29,11,-37
-39,12,-45
-42,14,-46
-44,17,-46
-46,16,-46
-54,20,-47
-51,18,-43
-57,18,-45
-59,19,-38
-62,17,-30
-62,14,-18
-56,10,-8
-52,8,-5
-33,5,10
-32,2,12
-13,-2,19
-17,-9,15
-15,-11,25
-35,-24,40
-24,-40,36
-14,-39,40
-13,-50,43
-21,-58,38
-38,-68,31
-33,-86,45
-28,-92,48
-30,-90,34
-28,-88,43
-31,-82,55
-30,-76,54
-25,-62,46
-27,-58,42
-28,-59,43
-21,-59,41
-18,-58,36
-14,-56,37
-19,-57,32
-13,-53,31
-6,-44,30
-11,-43,30
-12,-40,30
-6,-34,36
-7,-33,37
-11,-34,40
-7,-32,43
-9,-30,46
-10,-31,48
-8,-29,49
-14,-32,51
-10,-31,54
-9,-31,55
-14,-28,54
-12,-24,54
-5,-19,59
-4,-20,61
-5,-16,61
-4,-13,58
-7,-18,61
-6,-19,63
-6,-17,61
-8,-19,60
-4,-19,63
-3,-13,61
-6,-15,59
-5,-16,59
-5,-17,60
-5,-18,61
-6,-17,61
-5,-20,63
-5,-21,62
-7,-17,61
-8,-19,60
-9,-19,59
-10,-17,58
