X-axis,Y-axis,Z-axis
32,32,32
1,-59,26
2,-59,25
2,-60,24
1,-58,26
1,-55,27
2,-57,25
2,-58,24
2,-58,25
1,-58,26
1,-57,25
2,-57,25
2,-58,25
2,-57,25
2,-56,27
1,-56,27
1,-57,27
1,-56,27
1,-57,27
2,-57,26
2,-56,26
1,-57,26
1,-55,28
0,-56,27
-3,-58,29
-4,-58,33
-9,-54,44
-9,-51,46
-7,-49,44
-1,-50,35
0,-52,31
0,-54,29
0,-54,28
-1,-55,29
-2,-52,33
-4,-50,40
-3,-53,37
2,-56,28
2,-56,27
1,-59,24
0,-59,23
0,-57,25
0,-53,29
1,-52,30
-1,-51,35
-1,-50,38
-1,-49,39
0,-48,39
-2,-49,40
-4,-49,42
-4,-48,42
-3,-48,41
-3,-49,40
-2,-48,40
-2,-48,39
-2,-48,40
-2,-49,39
-2,-49,39
-2,-48,39
-2,-48,40
-3,-48,40
-3,-48,41
-3,-48,42
-3,-47,42
-2,-47,42
-2,-47,41
-2,-48,40
-2,-47,40
-3,-48,40
-2,-47,41
-2,-48,41
-2,-48,40
-2,-48,40
-2,-48,40
-3,-48,41
-2,-48,41
-2,-48,39
-2,-48,39
-1,-47,39
-2,-48,40
-2,-48,41
-1,-47,41
-1,-47,40
-3,-48,41
-5,-49,43
-5,-49,43
-6,-47,46
-12,-44,46
-11,-45,36
7,-57,37
6,-53,42
0,-35,43
1,-47,40
-11,-39,43
-4,-28,58
-2,-18,68
-4,-19,63
4,-15,59
12,-5,68
10,-6,59
12,-8,63
11,-8,56
14,-8,61
15,-6,61
15,-6,62
17,-4,63
22,-2,61
23,-2,61
23,-1,61
22,-1,61
20,-1,59
18,-1,59
19,-1,59
18,-2,60
18,-1,60
17,-2,61
16,-3,62
17,-2,63
17,-2,62
17,-1,62
15,-3,62
17,-2,60
17,-2,60
17,-4,59
18,-4,60
19,-4,59
19,-4,60
19,-4,60
19,-4,59
21,-3,60
20,-3,61
20,-3,59
21,-1,60
22,-3,60
21,-1,59
17,-2,58
17,4,62
18,5,62
18,3,62
17,1,59
19,3,60
18,5,62
17,2,60
19,3,62
19,3,62
20,1,61
20,1,61
19,2,61
19,1,60
19,0,60
19,1,61
19,1,60
19,1,59
19,1,59
19,1,61
20,0,60
21,1,60
21,1,61
20,-1,59
19,-2,58
18,-3,58
20,1,61
22,2,60
21,1,59
19,1,60
19,5,62
23,0,58
21,6,61
21,3,56
18,-3,57
17,-6,56
16,-3,54
14,3,64
17,1,64
17,3,65
15,3,67
12,1,62
18,-4,56
17,1,65
19,3,65
18,2,64
19,2,63
17,-3,57
15,-4,57
18,-2,58
20,-2,58
21,-2,59
25,-2,60
25,-2,58
24,-2,60
26,-3,58
27,-2,59
27,-4,56
24,-4,56
25,-4,55
27,-3,57
27,-3,58
24,-2,62
23,-2,61
21,-2,58
24,0,59
24,0,58
24,-1,58
23,-2,57
23,-1,57
23,-2,59
22,-2,59
24,-2,60
22,-2,61
21,-4,58
23,-3,58
22,-3,58
22,-2,59
23,-2,59
24,-1,59
22,-2,59
22,-3,59
23,-2,59
23,-2,59
22,-3,58
22,-3,58
23,-2,58
23,-2,59
22,-3,59
22,-4,58
23,-3,59
24,-2,60
22,-2,60
23,-2,59
23,-2,58
23,-2,58
23,-2,57
23,-2,58
23,-4,57
22,-5,58
22,-4,59
23,-4,59
23,-3,58
23,-3,58
22,-2,59
22,-2,60
24,1,61
25,-2,57
25,-2,57
23,-2,58
24,-2,58
23,-2,59
23,-2,59
22,-3,58
22,-4,58
23,-3,59
23,-3,59
22,-3,59
22,-2,59
24,-1,58
23,-1,58
24,-2,58
26,-2,57
26,-3,58
24,-2,61
23,-2,61
23,-2,59
22,-4,57
21,-5,56
23,-4,56
23,-4,57
22,-5,58
22,-4,58
21,-4,59
21,-3,60
22,-3,60
23,-2,61
23,-2,60
23,-2,59
23,-3,59
23,-3,58
22,-4,57
22,-5,57
22,-4,57
23,-3,59
23,-3,60
23,-2,60
24,-1,59
24,0,59
23,-2,58
22,-2,57
22,-2,58
24,-1,59
23,-2,59
23,-2,59
23,-2,58
23,-3,57
23,-2,58
25,-1,58
22,-3,59
22,-4,59
20,-5,59
20,-6,60
20,-4,61
26,0,61
26,0,62
21,-2,59
22,-1,59
25,0,62
18,-6,64
12,-11,61
2,-20,64
-4,-26,64
-12,-36,64
-18,-41,60
-17,-35,56
-15,-30,48
-7,-13,54
4,14,43
-2,26,32
-16,39,54
24,64,49
6,30,32
-1,61,49
-68,44,102
-4,37,59
-8,18,49
-7,33,58
1,27,53
8,22,58
7,28,55
19,32,51
19,30,54
18,31,51
23,39,45
19,44,37
18,21,34
-5,35,40
1,36,48
6,40,51
1,36,52
1,37,50
-7,38,50
-9,36,50
-13,27,50
-11,26,51
-14,31,67
-11,30,66
0,30,68
-10,17,13
-10,22,56
-3,25,63
-8,20,68
2,20,68
-1,23,73
-8,7,87
-10,1,66
-6,11,70
-3,14,63
-7,10,59
-4,11,56
-4,17,52
-4,27,55
-2,22,65
-11,19,67
-18,24,60
-16,17,50
-15,25,51
-25,31,57
-21,25,55
-8,45,53
9,28,52
16,30,55
12,26,45
5,35,49
-21,19,54
-24,23,60
-30,7,53
-33,2,58
-37,-7,49
-55,-15,62
-43,-11,57
-36,-6,53
-34,-7,53
-34,-9,54
-27,-8,52
-28,-6,57
-29,-5,57
-33,-3,58
-30,-2,57
-29,-3,58
-30,-4,58
-29,-5,56
-29,-6,55
-31,-7,55
-29,-8,55
-30,-9,55
-34,-9,59
-24,-9,54
-32,-7,57
-33,-4,54
-28,-2,53
-26,-3,57
-27,-3,59
-29,-2,61
-28,6,59
-25,8,58
-26,9,58
-35,1,59
-35,-1,53
-44,-12,52
-50,-8,49
-43,-11,53
-39,-12,53
-40,-14,53
-30,-10,55
-28,-10,56
-31,-12,54
-28,-12,48
-35,-14,49
-40,-15,49
-35,-15,47
-30,-15,45
-32,-15,50
-31,-13,50
-33,-12,51
-33,-13,52
-37,-13,55
-38,-16,54
-36,-15,52
-35,-16,50
-38,-13,51
-36,-10,53
-34,-9,51
-35,-9,50
-37,-9,52
-35,-8,52
-35,-8,53
-35,-6,53
-37,-8,53
-39,-8,53
-38,-8,53
-31,-3,51
-29,-1,52
-33,4,54
-34,0,54
-36,-2,54
-43,-5,56
-41,-6,55
-37,-6,53
-37,-9,52
-35,-9,51
-32,-9,48
-35,-11,50
-37,-9,52
-38,-13,51
-41,-14,53
-38,-11,51
-37,-12,50
-39,-13,53
-38,-11,52
-36,-10,51
-35,-8,51
-35,-8,51
-33,-5,51
-34,-2,52
-34,0,53
-34,1,54
-33,1,55
-31,1,54
-31,-1,52
-30,0,49
-33,2,51
-34,-2,53
-39,2,54
-38,8,72
-41,8,56
-42,8,54
-42,9,55
-36,9,54
-36,10,52
-36,12,51
-35,12,51
-34,11,51
-32,12,53
-33,11,53
-33,10,53
-32,11,52
-34,10,53
-34,11,54
-33,11,53
-32,11,54
-33,12,54
-32,9,51
-37,15,60
-39,24,61
-27,18,46
-19,17,52
-23,22,56
-27,22,53
-27,23,53
-25,24,54
-27,22,54
-29,21,54
-29,22,54
-28,22,53
-28,22,52
-29,22,53
-28,23,54
-28,22,54
-28,22,52
-28,22,54
-27,23,53
-26,23,53
-30,21,54
-29,21,53
-32,20,54
-31,20,53
-30,19,53
-29,20,53
-29,20,53
-29,20,53
-29,20,53
-29,20,53
-30,20,54
-30,20,54
-32,20,54
-31,18,54
-35,17,55
-36,20,64
-34,16,62
-35,10,60
-36,12,51
3,-7,56
-47,-13,29
2,39,66
-10,25,62
26,3,46
-24,38,61
-3,66,54
-38,113,82
-59,2,71
-54,-1,64
-24,14,43
17,32,19
20,29,23
-18,42,17
-34,45,11
-23,-50,19
-49,28,39
0,26,27
-19,48,50
82,104,44
-11,7,36
-31,33,71
-6,12,70
-10,24,54
-8,28,39
22,8,6
15,-27,26
21,-41,36
13,-45,38
10,-52,46
10,-68,57
5,-56,54
15,-58,48
9,-56,43
17,-56,46
14,-58,27
19,-51,31
19,-43,30
-2,-32,20
-8,-2,19
-70,-46,-106
48,-53,-4
34,-55,8
18,-71,1
-49,-46,28
-9,-68,-10
-5,-59,10
13,-64,12
-6,-62,2
-8,-58,3
4,-65,7
6,-64,9
-2,-62,5
-2,-62,5
2,-64,7
1,-63,7
-1,-62,5
-1,-63,6
1,-63,7
0,-62,6
-1,-62,6
0,-63,6
1,-63,6
0,-62,6
0,-63,6
0,-63,6
0,-62,6
0,-62,6
0,-63,6
0,-63,6
0,-62,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-62,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-62,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-61,6
1,-64,9
0,-63,5
0,-63,6
0,-63,6
0,-62,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
0,-63,6
