X-axis,Y-axis,Z-axis,Blood Value pulse,Electrodermal activity,Heart rate,Time interval, IBI,Temperature
32,32,32,64,4,78,375.96875,0.671875,32.78
-52,23,-19,10.34,0,121,513.390625,0.5,32.71
-61,24,-16,11.2,0.155022,85,513.90625,0.515625,32.71
-85,13,-49,9.14,0.203707,79.67,572.453125,0.5,32.71
-37,52,1,6.44,0.347199,77,572.96875,0.515625,32.71
-57,7,-1,7.54,0.82764,74.4,573.484375,0.515625,32.71
-56,39,4,9.14,0.736943,76.17,574.015625,0.53125,32.71
-54,21,14,8.24,0.517862,77.57,574.546875,0.53125,32.71
-51,27,20,9.14,0.379495,78.62,787.4375,0.625,32.71
-54,34,2,7.14,0.466615,79.33,837.5625,0.546875,32.68
-68,21,-18,8.14,0.53708,79.9,908.53125,0.5,32.68
-69,32,-16,5.56,0.433305,80.45,909.03125,0.5,32.68
-47,22,-16,0.01,0.393588,80.92,909.53125,0.5,32.68
-49,30,-24,0.01,0.334654,81.23,910.0625,0.53125,32.68
-53,35,-27,0,0.33081,81.29,910.625,0.5625,32.68
-37,32,-32,-0.03,0.375652,81.6,949.703125,0.546875,32.68
-42,30,-31,-0.05,0.432023,81.69,950.234375,0.53125,32.68
-53,22,-42,-0.05,0.424336,81.76,950.796875,0.5625,32.71
-41,21,-38,0,0.414087,81.72,951.3125,0.515625,32.71
-43,20,-41,0.13,0.379495,81.74,1021.546875,0.53125,32.71
-50,18,-47,0.36,0.147602,81.8,1073.8125,0.546875,32.71
-45,20,-47,0.66,0,82,1083.1875,0.625,32.68
-51,20,-38,1.01,0.051247,82.41,1083.75,0.5625,32.68
-47,18,-41,1.37,0.184489,82.78,1084.34375,0.59375,32.68
-49,19,-40,1.72,0.19602,83.58,1084.984375,0.640625,32.68
-51,18,-39,2.06,0.197301,84.28,1088.09375,0.625,32.71
-53,16,-38,2.4,0.199864,84.92,1088.71875,0.625,32.71
-52,10,-37,2.79,0.267766,85.44,1089.328125,0.609375,32.71
-53,9,-37,3.24,0.19602,86.04,1089.9375,0.609375,32.71
-51,17,-38,3.8,0.189614,86.59,1241.5,1.125,32.71
-50,13,-33,4.42,0.175521,87.03,1270.203125,0.53125,32.71
-46,17,-34,5.06,0.187052,87.61,1270.765625,0.5625,32.71
-40,20,-39,5.66,0.180646,88.06,1271.3125,0.546875,32.71
-36,20,-43,6.2,0.17424,88.79,1271.875,0.5625,32.71
-42,17,-53,6.68,0.179365,89.47,1272.40625,0.53125,32.71
-39,18,-51,7.15,0.202426,90.09,1272.953125,0.546875,32.71
-36,19,-53,7.68,0.204988,90.69,1273.5,0.546875,32.71
-35,17,-51,8.31,0.197301,91.27,1411.8125,0.640625,32.71
-33,17,-48,9.14,0.188333,1,1412.453125,0.640625,32.71
-34,17,-51,10.09,0.192177,56,1413.109375,0.65625,32.71
-38,17,-50,11.04,0.185771,56,1413.734375,0.625,32.71
-39,16,-53,11.88,0.183208,56,1427.953125,1.03125,32.71
-39,15,-55,12.56,0.184489,56,1431.953125,0.609375,32.71
-42,13,-52,13.14,0.185771,65,1432.484375,0.53125,32.71
-44,11,-49,13.76,0.19602,65.33,1433.015625,0.53125,32.71
-44,10,-52,14.65,0.210113,66.71,1433.625,0.609375,32.73
-44,10,-49,15.96,0.224206,67.75,1481.9375,0.75,32.73
-29,14,-38,17.91,0.351042,68.56,1482.6875,0.75,32.73
-23,1,-52,20.32,0.340793,69.2,1513,0.625,32.73
-39,21,-71,22.9,0.34848,70,1790.578125,0.640625,32.71
-41,22,-70,25.38,0.386915,70,1791.203125,0.625,32.71
-24,15,-52,27.58,0.430475,70.15,1791.84375,0.640625,32.71
-29,16,-56,29.57,0.397165,70.43,1792.53125,0.6875,32.71
-28,15,-56,31.68,0.294671,70.6,1796.59375,0.671875,32.71
-22,20,-59,34.32,0.289546,70.81,1797.234375,0.640625,32.71
-17,24,-52,37.81,0.290827,70.94,1797.921875,0.6875,32.71
-33,2,-59,42.54,0.321575,70.94,1798.578125,0.65625,32.71
-26,13,-60,48.15,0.327981,70.84,1799.234375,0.65625,32.73
-32,6,-61,54.1,0.308764,70.9,1799.9375,0.703125,32.73
-18,13,-59,59.83,0.302358,70.81,1800.625,0.6875,32.73
-19,8,-64,64.97,0.271609,70.68,1801.296875,0.671875,32.73
-31,13,-59,69.58,0.269047,70.52,1801.953125,0.65625,32.75
-31,20,-53,74.14,0.238299,70.38,1802.609375,0.65625,32.75
-32,15,-52,79.34,0.226768,70.92,1803.234375,0.625,32.75
-32,15,-49,85.71,0.220362,71.38,1808.8125,0.609375,32.75
-27,13,-54,93.76,0.216519,71.96,1809.421875,0.609375,32.75
-29,8,-61,103,0.23958,72.54,1810.015625,0.59375,32.75
-35,10,-65,112.62,0.247267,73.03,1810.609375,0.59375,32.75
-38,6,-63,121.73,0.258798,73.4,1811.234375,0.625,32.75
-31,7,-48,129.77,0.344637,73.81,1811.8125,0.578125,32.75
-31,13,-49,136.75,0.366417,74.16,1812.46875,0.65625,32.75
-21,22,-64,143.3,0.375385,74.52,1813.0625,0.59375,32.75
-23,15,-62,150.75,0.367698,74.88,1813.703125,0.640625,32.75
-27,11,-63,157.77,0.397165,75.14,1814.359375,0.65625,32.75
-31,17,-54,166.64,0.339512,75.5,1815.015625,0.65625,32.75
-26,20,-55,177.95,0.310045,75.78,1815.640625,0.625,32.75
-21,12,-58,191.79,0.322857,76.08,1816.25,0.609375,32.75
-25,5,-62,206.97,0.294671,76.36,1816.875,0.625,32.75
-27,5,-63,220.57,0.290827,76.57,1817.53125,0.65625,32.75
-30,10,-58,228.25,0.293389,76.78,1818.15625,0.625,32.75
-32,9,-59,225.36,0.298514,77,1818.78125,0.625,32.75
-37,22,-63,208.53,0.293389,77.21,1819.40625,0.625,32.77
-51,19,-67,176.87,0.293389,77.52,1820.09375,0.6875,32.77
-12,17,-54,132.76,0.26136,77.76,1820.765625,0.671875,32.77
-31,13,-47,80.05,0.234455,78.02,1821.4375,0.671875,32.77
-33,14,-45,23.07,0.238299,78.32,1822.15625,0.71875,32.75
-29,11,-37,-34.94,0.28314,78.62,1822.859375,0.703125,32.75
-39,12,-45,-92.44,0.358729,78.98,1823.515625,0.65625,32.75
-42,14,-46,-149.16,0.374104,79.32,1824.1875,0.671875,32.75
-44,17,-46,-205.23,0.377947,79.67,1824.859375,0.671875,32.75
-46,16,-46,-260.37,0.407414,80,1825.515625,0.65625,32.75
-54,20,-47,-313.74,0.333106,80.34,1826.140625,0.625,32.75
-51,18,-43,-363.86,0.315169,80.7,1826.734375,0.59375,32.75
-57,18,-45,-409.8,0.317732,81.07,1827.34375,0.609375,32.75
-59,19,-38,-450.87,0.315169,81.45,1827.96875,0.625,32.75
-62,17,-30,-486.49,0.302358,81.79,1828.59375,0.625,32.75
-62,14,-18,-515.78,0.295952,82.14,1829.21875,0.625,32.75
-56,10,-8,-537.34,0.298514,82.53,1829.875,0.65625,32.77
-52,8,-5,-549.42,0.295952,82.92,1830.53125,0.65625,32.77
-33,5,10,-550.24,0.294671,83.73,1831.203125,0.671875,32.77
-32,2,12,-538.69,0.279297,84.55,1831.828125,0.625,32.77
-13,-2,19,-514.55,0.269047,85.35,1832.46875,0.640625,32.77
-17,-9,15,-479.02,0.245986,86.13,1833.140625,0.671875,32.77
-15,-11,25,-434.24,0.517595,86.17,1833.8125,0.671875,32.77
-35,-24,40,-382.83,0.798173,86.78,1834.4375,0.625,32.77
-24,-40,36,-327.45,0.55886,87.27,1835.125,0.6875,32.77
-14,-39,40,-270.32,0.35259,87.77,1835.78125,0.65625,32.77
